Sample Report (Standard)
---------------------------------------
MS Data File Information
---------------------------------------









---------------------------------------
Target Compounds
---------------------------------------
Peaks: 40("#","RT","Peak Name","Res Type","Quan Ions","Area","Amount/RF","Amount Units",),
1,22.519,"Acide 4-Phenylbutyrique",Fail,221.0,1.110e+7,1.000,"",
2,23.769,"Acide O-OH-Phenylacetiqu",Fail,253.0,1.630e+7,1.000,"",
3,38.575,"C17-Heptadecanoique",Fail,327.0,1.849e+7,1.000,"",
4,6.877,"Acide Lactique",Id.,191.0,3.384e+6,59.307,"µmol/mmol",
5,7.442,"Acide Glycolique",Fail,177.0,757856,135.077,"µmol/mmol",
6,9.864,"Acide 3OH-Propionique",Fail,177.1,280156,15.286,"µmol/mmol",
7,10.048,"Acide 3OH-Butyrique",Fail,233.0,142313,7.174,"µmol/mmol",
8,9.873,"Acide 2OH-Isovalerique",Miss.,219.0,0,0,"",
9,12.401,"Acide Methylmalonique",Fail,218.0,7731,0.346,"µmol/mmol",
10,12.092,"Acide Malonique",Fail,233.0,13213,0.622,"µmol/mmol",
11,12.563,"Acide 3OH-Isovalerique",Fail,247.0,12288,12288,"Counts",
12,12.594,"Acide 2Ceto-Isovalerique",Fail,232.0,10975,10975,"Counts",
13,12.436,"Acide 4OH-Butyrique",Miss.,233.0,0,0.000,"µmol/mmol",
14,14.346,"Acide 2Ceto-3CH3-Valeriq",Fail,200.0,27474,27474,"Counts",
15,14.736,"Acide Ethylmalonique",Id.,261.0,9153,0.283,"µmol/mmol",
16,15.934,"Acide Succinique",Fail,247.0,256682,3.848,"µmol/mmol",
17,16.332,"Acide 3CH3-Succinique",Fail,261.0,27794,27794,"Counts",
18,17.269,"Propionylglycine",Fail,188.0,6283,0.767,"",
19,17.212,"Acide Fumarique",Fail,245.0,221465,0.434,"µmol/mmol",
20,19.003,"Acide Glutarique",Fail,261.0,10678,0.036,"µmol/mmol",
21,19.580,"Acide 3CH3-Glutarique",Miss.,172.0,0,0.000,"µmol/mmol",
22,21.190,"2CH3-Butyrylglycine",Fail,203.0,7104,0.628,"µmol/mmol",
23,21.465,"Acide 3CH3-Glutaconique",Fail,198.0,19378,0.312,"µmol/mmol",
24,22.114,"Acide Adipique",Miss.,275.0,0,0.000,"µmol/mmol",
25,21.518,"Isovalerylglycine",Miss.,116.0,0,0.000,"µmol/mmol",
26,22.931,"Acide 3CH3-Adipique",Fail,289.0,5274,5274,"Counts",
27,23.954,"Tiglylglycine",Miss.,214.0,0,0.000,"µmol/mmol",
28,24.364,"Acide 3OH-Glutarique",Fail,259.0,7994,2.779,"µmol/mmol",
29,24.914,"Acide 3OH-3CH3-Glutariqu",Miss.,231.0,0,0,"",
30,25.791,"Acide pOH-phenylacetique",Fail,170.0,338828,338828,"Counts",
31,25.773,"Acide 2-Cetoglutarique",Id.,260.0,252601,5.441,"µmol/mmol",
32,27.710,"Acide Suberique",Fail,303.0,22050,0.449,"µmol/mmol",
33,24.333,"Acide 2OH-Glutarique",Id.,129.0,272107,272107,"Counts",
34,29.516,"Acide Homovanillique",Fail,326.0,235955,235955,"Counts",
35,32.375,"Acide Vanillylmandelique",Id.,297.0,700642,700642,"Counts",
36,32.688,"Acide Sebacique",Fail,331.0,1990,0.000,"µmol/mmol",
37,32.829,"Acide pOH-Phenyllactique",Fail,179.0,171269,171269,"Counts",
38,33.906,"Acide pOH-Phenylpyruviqu",Fail,277.0,34197,34197,"Counts",
39,34.198,"Acide Indole-3-Acetique",Miss.,202.0,0,0,"",
40,41.280,"Suberylglycine",Miss.,158.0,0,0.000,"µmol/mmol",
---------------------------------------
Unidentified Peaks
---------------------------------------
Quan Ions:,RIC,
Spectrum Match Type:,Normal-Forward,
RF Used:,1.000,
Match Thresh:,700,
Peaks: 50("#","RT","Peak Name","Res Type","Area","Amount","R.Match",),
41,6.718,"TMS Artifact 2",TIC,1.623e+7,16225837,891,
42,6.978,"X 2OH-BUTYRIC",TIC,2.290e+7,22897200,832,
43,7.150,"No Match",Unk.,4.914e+7,49141708,----,
44,9.357,"No Match",Unk.,2.390e+7,23899354,----,
45,9.473,"X OXALIC",TIC,8.315e+7,83149136,886,
46,10.043,"ACIDE PYRUVIQUE OX",TIC,3.637e+7,36372780,727,
47,10.446,"ACIDE 3OH ISOBUTYRIQUE",TIC,2.179e+7,21789666,828,
48,10.741,"No Match",Unk.,3.552e+6,3551570,----,
49,10.801,"No Match",Unk.,6.752e+6,6751974,----,
50,11.172,"No Match",Unk.,3.819e+6,3818550,----,
51,11.332,"No Match",Unk.,1.178e+7,11777355,----,
52,12.247,"No Match",Unk.,1.136e+8,113606008,----,
53,12.468,"No Match",Unk.,4.295e+6,4294656,----,
54,12.547,"ACETO ACETATE pic 2",TIC,1.786e+7,17864696,804,
55,12.909,"No Match",Unk.,3.485e+6,3485230,----,
56,13.517,"UREE DI TMS",TIC,1.376e+8,137590224,741,
57,14.632,"glycerol tri tms",TIC,9.525e+6,9525486,828,
58,16.012,"No Match",Unk.,1.296e+7,12963209,----,
59,19.947,"No Match",Unk.,4.549e+6,4548588,----,
60,20.888,"No Match",Unk.,1.335e+7,13347189,----,
61,22.027,"3,6,9,12-tetraoxa-2,13-disil",TIC,4.826e+6,4825734,864,
62,23.484,"FURAN 2OH CH3 5 CARBOXYLIQUE",TIC,5.190e+6,5190024,718,
63,25.083,"No Match",Unk.,5.178e+6,5177855,----,
64,25.959,"ACIDE pOH PHENYLACETIQUE",TIC,4.319e+7,43194872,796,
65,26.518,"X FUROYLGLYCINE 1TMS",TIC,1.470e+7,14695138,897,
66,29.127,"ACIDE CISACONITIQUE",TIC,2.385e+7,23852404,840,
67,30.143,"No Match",Unk.,8.991e+6,8990698,----,
68,30.293,"No Match",Unk.,3.282e+6,3281632,----,
69,30.772,"No Match",Unk.,2.801e+7,28010414,----,
70,30.909,"X CITRIC",TIC,7.626e+7,76259480,912,
71,31.055,"No Match",Unk.,4.830e+6,4829975,----,
72,31.323,"X HIPPURIC 2",TIC,1.362e+8,136227552,900,
73,31.658,"ACIDE di OH PHENYL OH PROPIO",TIC,3.321e+6,3320909,738,
74,36.340,"X PALMITIC",TIC,9.176e+6,9175800,926,
75,42.454,"No Match",Unk.,7.316e+6,7316458,----,
76,53.406,"No Match",Unk.,3.216e+6,3216374,----,
77,54.687,"No Match",Unk.,3.565e+6,3564986,----,
78,55.909,"No Match",Unk.,5.153e+6,5153410,----,
79,56.082,"No Match",Unk.,3.227e+6,3226712,----,
80,56.206,"No Match",Unk.,4.398e+6,4397773,----,
81,56.243,"No Match",Unk.,4.369e+6,4369441,----,
82,56.767,"No Match",Unk.,3.621e+6,3621013,----,
83,56.868,"No Match",Unk.,5.177e+6,5177332,----,
84,57.072,"No Match",Unk.,3.490e+6,3490290,----,
85,57.501,"No Match",Unk.,1.024e+7,10244740,----,
86,57.806,"No Match",Unk.,3.478e+6,3477885,----,
87,57.926,"No Match",Unk.,4.791e+6,4791453,----,
88,58.187,"No Match",Unk.,5.202e+6,5201966,----,
89,58.413,"No Match",Unk.,3.173e+6,3173151,----,
90,58.529,"No Match",Unk.,3.364e+6,3364410,----,
