Sample Report (Standard)
---------------------------------------
MS Data File Information
---------------------------------------









---------------------------------------
Target Compounds
---------------------------------------
Peaks: 40("#","RT","Peak Name","Res Type","Quan Ions","Area","Amount/RF","Amount Units",),
1,22.880,"Acide 4-Phenylbutyrique",Id.,221.0,1.472e+7,1.000,"",
2,24.159,"Acide O-OH-Phenylacetiqu",Id.,253.0,2.538e+7,1.000,"",
3,38.896,"C17-Heptadecanoique",Id.,327.0,6.286e+7,1.000,"",
4,7.176,"Acide Lactique",Id.,191.0,2.807e+6,36.913,"µmol/mmol",
5,7.746,"Acide Glycolique",Id.,177.0,959330,58.535,"µmol/mmol",
6,10.188,"Acide 3OH-Propionique",Id.,177.1,269264,269264,"Counts",
7,10.894,"Acide 3OH-Butyrique",Fail,233.0,9029,0.343,"µmol/mmol",
8,10.843,"Acide 2OH-Isovalerique",Id.,247.0,280246,280246,"Counts",
9,12.362,"Acide Malonique",Miss.,233.0,0,0.000,"µmol/mmol",
10,12.559,"Acide 3OH-Isovalerique",Miss.,247.0,0,0,"",
11,12.643,"Acide 2Ceto-Isovalerique",Miss.,232.0,0,0,"",
12,12.733,"Acide Methylmalonique",Miss.,218.0,0,0.000,"µmol/mmol",
13,13.330,"Acide 4OH-Butyrique",Fail,233.0,44170,11.556,"µmol/mmol",
14,14.757,"Acide 2Ceto-3CH3-Valeriq",Id.,200.0,94198,94198,"Counts",
15,15.125,"Acide Ethylmalonique",Fail,261.0,41392,0.945,"µmol/mmol",
16,16.328,"Acide Succinique",Fail,247.0,438489,4.955,"µmol/mmol",
17,16.734,"Acide 3CH3-Succinique",Id.,261.0,127682,127682,"Counts",
18,17.493,"Acide Fumarique",Miss.,245.0,0,0.000,"µmol/mmol",
19,17.907,"Propionylglycine",Fail,188.0,11881,1.093,"",
20,19.353,"Acide Glutarique",Fail,261.0,108307,1.022,"µmol/mmol",
21,19.979,"Acide 3CH3-Glutarique",Fail,172.0,5833,0.037,"µmol/mmol",
22,21.349,"2CH3-Butyrylglycine",Miss.,203.0,0,0.000,"µmol/mmol",
23,21.823,"Acide 3CH3-Glutaconique",Fail,198.0,74837,0.909,"µmol/mmol",
24,21.830,"Isovalerylglycine",Miss.,116.0,0,0.000,"µmol/mmol",
25,22.536,"Acide Adipique",Fail,275.0,88087,1.245,"µmol/mmol",
26,23.450,"Acide 3CH3-Adipique",Miss.,289.0,0,0,"",
27,24.301,"Tiglylglycine",Miss.,214.0,0,0.000,"µmol/mmol",
28,24.442,"Acide pOH-Phenylpyruviqu",Id.,277.0,3759,3759,"Counts",
29,24.752,"Acide 3OH-Glutarique",Fail,259.0,10303,2.701,"µmol/mmol",
30,25.292,"Acide 3OH-3CH3-Glutariqu",Miss.,231.0,0,0,"",
31,26.183,"Acide 2-Cetoglutarique",Fail,260.0,1.337e+6,32.756,"µmol/mmol",
32,26.336,"Acide pOH-phenylacetique",Id.,164.0,2.581e+6,2581326,"Counts",
33,28.077,"Acide Suberique",Fail,303.0,27112,0.416,"µmol/mmol",
34,29.498,"Acide 2OH-Glutarique",Id.,RIC,6.953e+7,69527032,"Counts",
35,29.882,"Acide Homovanillique",Id.,326.0,344265,344265,"Counts",
36,32.704,"Acide Vanillylmandelique",Id.,297.0,1.028e+6,1028236,"Counts",
37,33.257,"Acide Sebacique",Fail,331.0,2798,0.000,"µmol/mmol",
38,33.156,"Acide pOH-Phenyllactique",Miss.,164.0,0,0,"",
39,34.524,"Acide Indole-3-Acetique",Miss.,202.0,0,0,"",
40,41.433,"Suberylglycine",Miss.,158.0,0,0.000,"µmol/mmol",
---------------------------------------
Unidentified Peaks
---------------------------------------
Quan Ions:,RIC,
Spectrum Match Type:,Normal-Forward,
RF Used:,1.000,
Match Thresh:,700,
Peaks: 50("#","RT","Peak Name","Res Type","Area","Amount","R.Match",),
41,6.192,"2 AMINOETHANOL",TIC,1.460e+7,14599122,803,
42,6.452,"No Match",Unk.,9.594e+6,9594145,----,
43,7.019,"TMS Artifact 2",TIC,7.206e+6,7205927,784,
44,7.278,"ACIDE 2 OH BUTYRIQUE",TIC,3.936e+7,39356552,847,
45,9.511,"X 2OH-BUTYRIC",TIC,6.126e+6,6126365,882,
46,9.642,"ACIDE GLYOXYLIQUE",TIC,8.939e+6,8938906,848,
47,10.367,"ACIDE PYRUVIQUE OX",TIC,5.625e+7,56246672,751,
48,10.769,"ACIDE 3OH ISOBUTYRIQUE",TIC,2.628e+7,26282724,854,
49,11.103,"No Match",Unk.,1.164e+7,11635716,----,
50,12.695,"No Match",Unk.,2.005e+7,20046710,----,
51,12.843,"ACETO ACETATE pic 2",TIC,1.132e+7,11324037,767,
52,12.930,"ACETO ACETATE pic 2",TIC,3.643e+7,36434116,862,
53,13.895,"UREE DI TMS",TIC,1.912e+7,19123116,749,
54,13.916,"No Match",Unk.,2.036e+7,20361432,----,
55,15.096,"17. GLYCEROL",TIC,3.429e+7,34289232,901,
56,15.826,"No Match",Unk.,4.869e+6,4868527,----,
57,17.599,"No Match",Unk.,1.265e+7,12650830,----,
58,17.658,"X (R*,R*)-2,3-Dihydroxybutan",TIC,1.103e+7,11029928,898,
59,18.479,"No Match",Unk.,2.294e+7,22940494,----,
60,19.145,"No Match",Unk.,4.426e+7,44255980,----,
61,20.348,"ACIDE 2 DEOXYTETRONIQUE TMS",TIC,1.440e+7,14402959,888,
62,21.477,"No Match",Unk.,3.897e+7,38965452,----,
63,22.202,"No Match",Unk.,7.704e+6,7703764,----,
64,22.498,"No Match",Unk.,8.748e+7,87482600,----,
65,23.388,"No Match",Unk.,2.842e+7,28418714,----,
66,23.480,"No Match",Unk.,8.509e+6,8508844,----,
67,23.861,"FURAN 2OH CH3 5 CARBOXYLIQUE",TIC,8.971e+6,8971349,802,
68,24.738,"No Match",Unk.,7.684e+6,7684457,----,
69,24.834,"No Match",Unk.,1.795e+7,17954696,----,
70,25.987,"ACIDE OH BENZOIQUE",TIC,6.247e+6,6246740,804,
71,26.789,"No Match",Unk.,7.413e+6,7413481,----,
72,27.804,"No Match",Unk.,7.453e+6,7453355,----,
73,29.367,"X PARACETAMOL",TIC,1.763e+7,17633244,897,
74,30.526,"No Match",Unk.,1.073e+7,10728456,----,
75,31.141,"No Match",Unk.,2.998e+7,29981724,----,
76,31.284,"ACIDE CITRIQUE",TIC,1.858e+7,18578450,826,
77,31.682,"X HIPPURIC 2",TIC,1.486e+7,14863097,930,
78,31.955,"ACIDE MYRISTIQUE",TIC,4.791e+6,4790538,796,
79,36.673,"ACIDE PALMITIQUE",TIC,9.117e+7,91166168,871,
80,40.294,"ACIDE LINOLEIQUE",TIC,8.710e+7,87099072,892,
81,40.442,"ACIDE OLEIQUE",TIC,5.085e+7,50848276,847,
82,41.060,"ACIDE STEARIQUE",TIC,7.731e+7,77308216,897,
83,42.758,"No Match",Unk.,6.813e+7,68127040,----,
84,42.896,"No Match",Unk.,6.963e+7,69629712,----,
85,46.036,"No Match",Unk.,2.632e+8,263175984,----,
86,49.981,"No Match",Unk.,6.633e+6,6632588,----,
87,50.009,"No Match",Unk.,5.118e+6,5118469,----,
88,50.319,"No Match",Unk.,1.417e+7,14167030,----,
89,51.716,"No Match",Unk.,5.038e+6,5037987,----,
90,53.402,"No Match",Unk.,5.796e+6,5795557,----,
