Sample Report (Standard)
---------------------------------------
MS Data File Information
---------------------------------------









---------------------------------------
Target Compounds
---------------------------------------
Peaks: 40("#","RT","Peak Name","Res Type","Quan Ions","Area","Amount/RF","Amount Units",),
1,22.503,"Acide 4-Phenylbutyrique",Fail,221.0,1.470e+7,1.000,"",
2,23.740,"Acide O-OH-Phenylacetiqu",Fail,253.0,6.164e+6,1.000,"",
3,38.557,"C17-Heptadecanoique",Fail,327.0,2.152e+7,1.000,"",
4,6.873,"Acide Lactique",Id.,191.0,2.650e+6,34.894,"µmol/mmol",
5,7.445,"Acide Glycolique",Fail,177.0,599362,81.043,"µmol/mmol",
6,9.867,"Acide 3OH-Propionique",Id.,177.1,197295,8.137,"µmol/mmol",
7,10.043,"Acide 3OH-Butyrique",Fail,233.0,488238,18.601,"µmol/mmol",
8,9.873,"Acide 2OH-Isovalerique",Miss.,219.0,0,0,"",
9,12.381,"Acide Methylmalonique",Fail,218.0,37096,1.254,"µmol/mmol",
10,12.044,"Acide Malonique",Fail,233.0,14978,0.532,"µmol/mmol",
11,12.395,"Acide 3OH-Isovalerique",Fail,247.0,25211,25211,"Counts",
12,12.543,"Acide 2Ceto-Isovalerique",Fail,232.0,144297,144297,"Counts",
13,12.436,"Acide 4OH-Butyrique",Miss.,233.0,0,0.000,"µmol/mmol",
14,14.290,"Acide 2Ceto-3CH3-Valeriq",Miss.,200.0,0,0,"",
15,14.711,"Acide Ethylmalonique",Id.,261.0,363284,8.479,"µmol/mmol",
16,15.919,"Acide Succinique",Fail,247.0,1.826e+6,20.688,"µmol/mmol",
17,16.311,"Acide 3CH3-Succinique",Fail,261.0,70318,70318,"Counts",
18,17.257,"Propionylglycine",Fail,188.0,6118,0.564,"",
19,17.192,"Acide Fumarique",Fail,245.0,1.205e+6,1.780,"µmol/mmol",
20,18.970,"Acide Glutarique",Fail,261.0,163716,0.421,"µmol/mmol",
21,19.612,"Acide 3CH3-Glutarique",Fail,172.0,16206,0.102,"µmol/mmol",
22,21.329,"2CH3-Butyrylglycine",Fail,203.0,8044,0.538,"µmol/mmol",
23,21.438,"Acide 3CH3-Glutaconique",Fail,198.0,134247,1.633,"µmol/mmol",
24,22.105,"Acide Adipique",Id.,275.0,230830,3.120,"µmol/mmol",
25,21.518,"Isovalerylglycine",Miss.,116.0,0,0.000,"µmol/mmol",
26,22.981,"Acide 3CH3-Adipique",Miss.,289.0,0,0,"",
27,23.954,"Tiglylglycine",Miss.,214.0,0,0.000,"µmol/mmol",
28,24.360,"Acide 3OH-Glutarique",Fail,259.0,7065,1.860,"µmol/mmol",
29,25.099,"Acide 3OH-3CH3-Glutariqu",Fail,231.0,5420,5420,"Counts",
30,25.727,"Acide pOH-phenylacetique",Id.,170.0,1.587e+6,1587070,"Counts",
31,25.727,"Acide 2-Cetoglutarique",Id.,260.0,1.351e+6,21.979,"µmol/mmol",
32,27.647,"Acide Suberique",Id.,303.0,165097,2.531,"µmol/mmol",
33,24.249,"Acide 2OH-Glutarique",Id.,129.0,758897,758897,"Counts",
34,29.484,"Acide Homovanillique",Fail,326.0,353494,353494,"Counts",
35,32.333,"Acide Vanillylmandelique",Id.,297.0,922317,922317,"Counts",
36,32.728,"Acide Sebacique",Id.,331.0,163134,0.033,"µmol/mmol",
37,32.786,"Acide pOH-Phenyllactique",Miss.,179.0,0,0,"",
38,33.883,"Acide pOH-Phenylpyruviqu",Fail,277.0,55246,55246,"Counts",
39,34.198,"Acide Indole-3-Acetique",Miss.,202.0,0,0,"",
40,41.280,"Suberylglycine",Miss.,158.0,0,0.000,"µmol/mmol",
---------------------------------------
Unidentified Peaks
---------------------------------------
Quan Ions:,RIC,
Spectrum Match Type:,Normal-Forward,
RF Used:,1.000,
Match Thresh:,700,
Peaks: 50("#","RT","Peak Name","Res Type","Area","Amount","R.Match",),
41,6.716,"TMS Artifact 2",TIC,2.040e+7,20397902,887,
42,6.979,"X 2OH-BUTYRIC",TIC,2.084e+7,20836936,822,
43,7.150,"No Match",Unk.,8.197e+7,81973168,----,
44,9.320,"ACIDE GLYOXYLIQUE",TIC,6.367e+7,63674876,843,
45,9.472,"X OXALIC",TIC,3.558e+7,35578568,851,
46,10.442,"ACIDE 3OH ISOBUTYRIQUE",TIC,2.467e+7,24674072,796,
47,10.733,"No Match",Unk.,1.104e+7,11037542,----,
48,10.793,"No Match",Unk.,1.123e+7,11228994,----,
49,11.175,"No Match",Unk.,1.317e+7,13169890,----,
50,11.275,"No Match",Unk.,3.277e+7,32772392,----,
51,11.323,"No Match",Unk.,2.058e+7,20576290,----,
52,11.383,"X PYRUVIC",TIC,1.194e+7,11940579,840,
53,11.433,"X PYRUVIC",TIC,8.289e+6,8289331,788,
54,11.671,"No Match",Unk.,2.009e+7,20085442,----,
55,12.025,"acide malonique",TIC,4.984e+6,4984150,763,
56,12.187,"X ion 243",TIC,7.437e+6,7437483,806,
57,12.242,"No Match",Unk.,9.723e+7,97233624,----,
58,12.898,"No Match",Unk.,4.831e+6,4830920,----,
59,13.056,"No Match",Unk.,5.396e+6,5396490,----,
60,13.454,"No Match",Unk.,1.752e+7,17517924,----,
61,13.514,"UREE DI TMS",TIC,5.690e+7,56903144,727,
62,13.759,"No Match",Unk.,5.584e+6,5584189,----,
63,14.621,"glycerol tri tms",TIC,9.549e+6,9549333,787,
64,15.600,"No Match",Unk.,1.017e+7,10171919,----,
65,15.656,"No Match",Unk.,5.900e+6,5899616,----,
66,15.978,"No Match",Unk.,4.479e+7,44794860,----,
67,19.913,"ACIDE 2 DEOXYTETRONIQUE TMS",TIC,8.175e+6,8174710,750,
68,20.159,"No Match",Unk.,6.942e+6,6942053,----,
69,20.294,"No Match",Unk.,7.362e+6,7362043,----,
70,21.115,"No Match",Unk.,1.841e+7,18406262,----,
71,22.007,"3,6,9,12-tetraoxa-2,13-disil",TIC,8.282e+6,8281558,824,
72,22.402,"39. PYROGLUTAMIC",TIC,5.330e+6,5330419,895,
73,25.557,"ACIDE OH BENZOIQUE",TIC,8.646e+7,86456224,927,
74,25.898,"ACIDE pOH PHENYLACETIQUE",TIC,2.932e+8,293188992,815,
75,26.339,"ACIDE 2 CETOGLUTARIQUE",TIC,1.012e+7,10116485,758,
76,27.276,"No Match",Unk.,5.431e+6,5431305,----,
77,27.418,"No Match",Unk.,1.013e+7,10130578,----,
78,29.092,"ACIDE CISACONITIQUE",TIC,7.520e+7,75199312,884,
79,30.107,"No Match",Unk.,4.193e+7,41934828,----,
80,30.265,"AZELAIC",TIC,1.527e+7,15271920,745,
81,30.741,"No Match",Unk.,1.671e+8,167121664,----,
82,30.870,"X CITRIC",TIC,1.780e+8,177950896,895,
83,30.994,"X ISOCITRIC ACID",TIC,2.367e+7,23673534,908,
84,31.307,"X HIPPURIC 2",TIC,6.115e+7,61150584,879,
85,31.686,"No Match",Unk.,1.459e+8,145914400,----,
86,33.669,"No Match",Unk.,5.222e+7,52222800,----,
87,36.325,"X PALMITIC",TIC,7.528e+6,7528216,902,
88,36.836,"ACIDE 3OH SEBACIQUE",TIC,7.174e+6,7174125,749,
89,40.253,"ACIDE pOH HIPPURIQUE diTMS",TIC,2.344e+8,234382608,935,
90,42.421,"No Match",Unk.,4.208e+7,42082728,----,
